OUTPUT FROM: poly3d_omp, version 3.0
   COMPILED: Jan 19 2026

 INPUT FILE: 800elts.in
     TITLE1: Converted from 800elts.ts by ts2in.pl
     TITLE2: Wed Dec 24 00:00:41 2014

ELASTIC CONSTANTS:
    Shear Modulus   = 30000.000000
    Poisson's Ratio = 0.250000
    Young's Modulus = 75000.000000
    Bulk Modulus    = 50000.000000
    Lame's Lambda   = 30000.000000

NULL OUPUT VALUE = -999.000000

COEF EXCLUSION VALUE = 0.000000

CONDITION NUMBER = 88.376662


====================================================
              OBJECT: str090Dip45
ELT CENTER COORD SYS: global
====================================================

DISPLACEMENTS:

   ELT                X1C                X2C                X3C                 B1              U1(+)              U1(-)                 B2              U2(+)              U2(-)                 B3              U3(+)              U3(-) Coord Sys
------ ------------------ ------------------ ------------------ ------------------ ------------------ ------------------ ------------------ ------------------ ------------------ ------------------ ------------------ ------------------ ---------
     1        166.6666667       -117.8511302       -117.8511302  -3.4761620275e-04  -1.7842326392e-04   1.6919293884e-04  -1.2808108892e-04  -1.4119935704e-04  -1.3118268116e-05   0.0000000000e+00   5.2256019389e-05   5.2256019389e-05 elocal
     2        333.3333333       -235.7022604       -235.7022604  -4.0493331982e-04  -2.2564167132e-04   1.7929164850e-04  -1.1696161888e-04  -1.3699459972e-04  -2.0032980834e-05   0.0000000000e+00   5.7871893913e-05   5.7871893913e-05 elocal
     3        666.6666667       -117.8511302       -117.8511302  -5.5368402184e-04  -2.9956839953e-04   2.5411562231e-04  -1.6925747322e-04  -1.6416649632e-04   5.0909769030e-06   0.0000000000e+00   7.8735763020e-05   7.8735763020e-05 elocal
     4        833.3333333       -235.7022604       -235.7022604  -5.9361009053e-04  -3.4307978708e-04   2.5053030345e-04  -1.4718152241e-04  -1.5553038427e-04  -8.3488618641e-06   0.0000000000e+00   8.1948865287e-05   8.1948865287e-05 elocal
     5       1166.6666667       -117.8511302       -117.8511302  -6.9340555767e-04  -3.8147861664e-04   3.1192694103e-04  -1.7358772982e-04  -1.6152876486e-04   1.2058964959e-05   0.0000000000e+00   9.5515249790e-05   9.5515249790e-05 elocal
     6       1333.3333333       -235.7022604       -235.7022604  -7.2471430960e-04  -4.2503560387e-04   2.9967870573e-04  -1.5016627762e-04  -1.5323698988e-04  -3.0707122614e-06   0.0000000000e+00   9.9286972403e-05   9.9286972403e-05 elocal
     7       1666.6666667       -117.8511302       -117.8511302  -7.9762836132e-04  -4.4231489174e-04   3.5531346958e-04  -1.6284185932e-04  -1.4837600549e-04   1.4465853831e-05   0.0000000000e+00   1.0780226027e-04   1.0780226027e-04 elocal
     8       1833.3333333       -235.7022604       -235.7022604  -8.2293396868e-04  -4.8638478047e-04   3.3654918822e-04  -1.4051535241e-04  -1.4104339715e-04  -5.2804474431e-07   0.0000000000e+00   1.1237268610e-04   1.1237268610e-04 elocal
     9       2166.6666667       -117.8511302       -117.8511302  -8.7774201139e-04  -4.8884815863e-04   3.8889385276e-04  -1.4467602509e-04  -1.3008509662e-04   1.4590928465e-05   0.0000000000e+00   1.1710208134e-04   1.1710208134e-04 elocal
    10       2333.3333333       -235.7022604       -235.7022604  -8.9837000674e-04  -5.3341409986e-04   3.6495590688e-04  -1.2414434747e-04  -1.2358587535e-04   5.5847212042e-07   0.0000000000e+00   1.2245381802e-04   1.2245381802e-04 elocal
    11       2666.6666667       -117.8511302       -117.8511302  -9.3957079404e-04  -5.2457597185e-04   4.1499482220e-04  -1.2246241248e-04  -1.0903825855e-04   1.3424153927e-05   0.0000000000e+00   1.2415915838e-04   1.2415915838e-04 elocal
    12       2833.3333333       -235.7022604       -235.7022604  -9.5632203668e-04  -5.6946697690e-04   3.8685505978e-04  -1.0391570003e-04  -1.0312916618e-04   7.8653385535e-07   0.0000000000e+00   1.3022131057e-04   1.3022131057e-04 elocal
    13       3166.6666667       -117.8511302       -117.8511302  -9.8653562875e-04  -5.5155944289e-04   4.3497618586e-04  -9.7913339423e-05  -8.6438157881e-05   1.1475181542e-05   0.0000000000e+00   1.2940177038e-04   1.2940177038e-04 elocal
    14       3333.3333333       -235.7022604       -235.7022604  -9.9992895556e-04  -5.9653547697e-04   4.0339347859e-04  -8.1380952003e-05  -8.0896521812e-05   4.8443019182e-07   0.0000000000e+00   1.3608808463e-04   1.3608808463e-04 elocal
    15       3666.6666667       -117.8511302       -117.8511302  -1.0207853848e-03  -5.7109506253e-04   4.4969032232e-04  -7.1985381301e-05  -6.2947669316e-05   9.0377119847e-06   0.0000000000e+00   1.3309494554e-04   1.3309494554e-04 elocal
    16       3833.3333333       -235.7022604       -235.7022604  -1.0311621037e-03  -6.1587462292e-04   4.1528748074e-04  -5.7452608407e-05  -5.7599977458e-05  -1.4736905089e-07   0.0000000000e+00   1.4031248494e-04   1.4031248494e-04 elocal
    17       4166.6666667       -117.8511302       -117.8511302  -1.0436931143e-03  -5.8401205244e-04   4.5968106190e-04  -4.5251554217e-05  -3.8955271598e-05   6.2962826188e-06   0.0000000000e+00   1.3540618455e-04   1.3540618455e-04 elocal
    18       4333.3333333       -235.7022604       -235.7022604  -1.0512678947e-03  -6.2827918470e-04   4.2298871001e-04  -3.2706301856e-05  -3.3681381993e-05  -9.7508013739e-07   0.0000000000e+00   1.4305612280e-04   1.4305612280e-04 elocal
    19       4666.6666667       -117.8511302       -117.8511302  -1.0560979214e-03  -5.9081771135e-04   4.6528021008e-04  -1.8079773120e-05  -1.4702568107e-05   3.3772050132e-06   0.0000000000e+00   1.3643697908e-04   1.3643697908e-04 elocal
    20       4833.3333333       -235.7022604       -235.7022604  -1.0609839176e-03  -6.3421937287e-04   4.2676454475e-04  -7.5364017835e-06  -9.4368258914e-06  -1.9004241080e-06   0.0000000000e+00   1.4441235269e-04   1.4441235269e-04 elocal
    21       5166.6666667       -117.8511302       -117.8511302  -1.0584263271e-03  -5.9177051582e-04   4.6665581123e-04   9.2679094406e-06   9.6447134892e-06   3.7680404857e-07   0.0000000000e+00   1.3623852423e-04   1.3623852423e-04 elocal
    22       5333.3333333       -235.7022604       -235.7022604  -1.0606452031e-03  -6.3390763270e-04   4.2673757044e-04   1.7751296828e-05   1.4909289066e-05  -2.8420077619e-06   0.0000000000e+00   1.4442004216e-04   1.4442004216e-04 elocal
    23       5666.6666667       -117.8511302       -117.8511302  -1.0507460344e-03  -5.8691276295e-04   4.6383327140e-04   3.6569593607e-05   3.3949669000e-05  -2.6199246075e-06   0.0000000000e+00   1.3481880033e-04   1.3481880033e-04 elocal
    24       5833.3333333       -235.7022604       -235.7022604  -1.0502265679e-03  -6.2732518442e-04   4.2290138344e-04   4.2872983212e-05   3.9151193497e-05  -3.7217897148e-06   0.0000000000e+00   1.4306858974e-04   1.4306858974e-04 elocal
    25       6166.6666667       -117.8511302       -117.8511302  -1.0327720637e-03  -5.7607485671e-04   4.5669720698e-04   6.3588853639e-05   5.8065116036e-05  -5.5237376026e-06   0.0000000000e+00   1.3214374167e-04   1.3214374167e-04 elocal
    26       6333.3333333       -235.7022604       -235.7022604  -1.0293368607e-03  -6.1421819645e-04   4.1511866424e-04   6.7505659996e-05   6.3053296127e-05  -4.4523638686e-06   0.0000000000e+00   1.4029615875e-04   1.4029615875e-04 elocal
    27       6666.6666667       -117.8511302       -117.8511302  -1.0038270481e-03  -5.5885252072e-04   4.4497452735e-04   9.0015135956e-05   8.1791186856e-05  -8.2239490995e-06   0.0000000000e+00   1.2813284179e-04   1.2813284179e-04 elocal
    28       6833.3333333       -235.7022604       -235.7022604  -9.9716253348e-04  -5.9406192983e-04   4.0310060365e-04   9.1213555543e-05   8.6292358847e-05  -4.9211966959e-06   0.0000000000e+00   1.3598052113e-04   1.3598052113e-04 elocal
    29       7166.6666667       -117.8511302       -117.8511302  -9.6274029825e-04  -5.3454814343e-04   4.2819215481e-04   1.1538005176e-04   1.0481622673e-04  -1.0563825035e-05   0.0000000000e+00   1.2264739519e-04   1.2264739519e-04 elocal
    30       7333.3333333       -235.7022604       -235.7022604  -9.5233738726e-04  -5.6597828491e-04   3.8635910236e-04   1.1333639093e-04   1.0837045880e-04  -4.9659321304e-06   0.0000000000e+00   1.2991894365e-04   1.2991894365e-04 elocal
    31       7666.6666667       -117.8511302       -117.8511302  -9.0764120266e-04  -5.0205070094e-04   4.0559050172e-04   1.3891378197e-04   1.2661626373e-04  -1.2297518237e-05   0.0000000000e+00   1.1546600132e-04   1.1546600132e-04 elocal
    32       7833.3333333       -235.7022604       -235.7022604  -8.9267562380e-04  -5.2856743652e-04   3.6410818728e-04   1.3278649834e-04   1.2845849013e-04  -4.3280082031e-06   0.0000000000e+00   1.2178801501e-04   1.2178801501e-04 elocal
    33       8166.6666667       -117.8511302       -117.8511302  -8.3553226341e-04  -4.5958877582e-04   3.7594348759e-04   1.5925540038e-04   1.4625413564e-04  -1.3001264739e-05   0.0000000000e+00   1.0623333898e-04   1.0623333898e-04 elocal
    34       8333.3333333       -235.7022604       -235.7022604  -8.1460047424e-04  -4.7954985176e-04   3.3505062247e-04   1.4761992172e-04   1.4506998869e-04  -2.5499330369e-06   0.0000000000e+00   1.1106124829e-04   1.1106124829e-04 elocal
    35       8666.6666667       -117.8511302       -117.8511302  -7.4131085864e-04  -4.0417051567e-04   3.3714034296e-04   1.7376815602e-04   1.6191123039e-04  -1.1856925623e-05   0.0000000000e+00   9.4341502007e-05   9.4341502007e-05 elocal
    36       8833.3333333       -235.7022604       -235.7022604  -7.1174814765e-04  -4.1490250815e-04   2.9684563950e-04   1.5396838948e-04   1.5526916059e-04   1.3007711163e-06   0.0000000000e+00   9.6827137367e-05   9.6827137367e-05 elocal
